date,state,city,level,lat,lng,cases,pop2019,ibgeCode,casesPer100k,deaths,deathRate
2020-02-25,SP,0,state,-23.53396987915039,-46.628868103027344,1,45919049.0,35.0,0.00218,0.0,0.0
2020-02-25,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,1,12252023.0,3550308.0,0.008159999999999999,0.0,0.0
2020-02-26,SP,0,state,-23.53396987915039,-46.628868103027344,1,45919049.0,35.0,0.00218,0.0,0.0
2020-02-26,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,1,12252023.0,3550308.0,0.008159999999999999,0.0,0.0
2020-02-27,SP,0,state,-23.53396987915039,-46.628868103027344,1,45919049.0,35.0,0.00218,0.0,0.0
2020-02-27,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,1,12252023.0,3550308.0,0.008159999999999999,0.0,0.0
2020-02-28,SP,0,state,-23.53396987915039,-46.628868103027344,2,45919049.0,35.0,0.00436,0.0,0.0
2020-02-28,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,2,12252023.0,3550308.0,0.016319999999999998,0.0,0.0
2020-02-29,SP,0,state,-23.53396987915039,-46.628868103027344,2,45919049.0,35.0,0.00436,0.0,0.0
2020-02-29,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,2,12252023.0,3550308.0,0.016319999999999998,0.0,0.0
2020-03-01,SP,0,state,-23.53396987915039,-46.628868103027344,2,45919049.0,35.0,0.00436,0.0,0.0
2020-03-01,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,2,12252023.0,3550308.0,0.016319999999999998,0.0,0.0
2020-03-02,SP,0,state,-23.53396987915039,-46.628868103027344,2,45919049.0,35.0,0.00436,0.0,0.0
2020-03-02,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,2,12252023.0,3550308.0,0.016319999999999998,0.0,0.0
2020-03-03,SP,0,state,-23.53396987915039,-46.628868103027344,2,45919049.0,35.0,0.00436,0.0,0.0
2020-03-03,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,2,12252023.0,3550308.0,0.016319999999999998,0.0,0.0
2020-03-04,SP,0,state,-23.53396987915039,-46.628868103027344,3,45919049.0,35.0,0.006529999999999999,0.0,0.0
2020-03-04,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,3,12252023.0,3550308.0,0.02449,0.0,0.0
2020-03-05,ES,0,state,-20.30677032470703,-40.30622863769531,1,4018650.0,32.0,0.024880000000000003,0.0,0.0
2020-03-05,RJ,0,state,-22.90880012512207,-43.196739196777344,1,17264943.0,33.0,0.00579,0.0,0.0
2020-03-05,SP,0,state,-23.53396987915039,-46.628868103027344,6,45919049.0,35.0,0.013069999999999998,0.0,0.0
2020-03-05,RJ,Barra Mansa,city,-22.54132080078125,-44.169090270996094,1,184412.0,3300407.0,0.5422600000000001,0.0,0.0
2020-03-05,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,6,12252023.0,3550308.0,0.04897,0.0,0.0
2020-03-06,BA,0,state,-12.972900390625,-38.50123977661133,1,14873064.0,29.0,0.00672,0.0,0.0
2020-03-06,ES,0,state,-20.30677032470703,-40.30622863769531,1,4018650.0,32.0,0.024880000000000003,0.0,0.0
2020-03-06,RJ,0,state,-22.90880012512207,-43.196739196777344,2,17264943.0,33.0,0.01158,0.0,0.0
2020-03-06,SP,0,state,-23.53396987915039,-46.628868103027344,10,45919049.0,35.0,0.02178,0.0,0.0
2020-03-06,RJ,Barra Mansa,city,-22.54132080078125,-44.169090270996094,1,184412.0,3300407.0,0.5422600000000001,0.0,0.0
2020-03-06,BA,Feira de Santana,city,-12.25551986694336,-38.95991897583008,1,614872.0,2910800.0,0.16264,0.0,0.0
2020-03-06,RJ,Rio de Janeiro,city,-22.91216087341309,-43.175010681152344,1,6718903.0,3304557.0,0.01488,0.0,0.0
2020-03-06,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,6,12252023.0,3550308.0,0.04897,0.0,0.0
2020-03-07,BA,0,state,-12.972900390625,-38.50123977661133,2,14873064.0,29.0,0.01345,0.0,0.0
2020-03-07,DF,0,state,-15.792110443115234,-47.89775085449219,1,3015268.0,53.0,0.03316,0.0,0.0
2020-03-07,ES,0,state,-20.30677032470703,-40.30622863769531,1,4018650.0,32.0,0.024880000000000003,0.0,0.0
2020-03-07,RJ,0,state,-22.90880012512207,-43.196739196777344,2,17264943.0,33.0,0.01158,0.0,0.0
2020-03-07,SP,0,state,-23.53396987915039,-46.628868103027344,13,45919049.0,35.0,0.028310000000000002,0.0,0.0
2020-03-07,RJ,Barra Mansa,city,-22.54132080078125,-44.169090270996094,1,184412.0,3300407.0,0.5422600000000001,0.0,0.0
2020-03-07,DF,Brasília,city,-15.778429985046387,-47.92864990234375,1,3015268.0,5300108.0,0.03316,0.0,0.0
2020-03-07,BA,Feira de Santana,city,-12.25551986694336,-38.95991897583008,2,614872.0,2910800.0,0.32527,0.0,0.0
2020-03-07,RJ,Rio de Janeiro,city,-22.91216087341309,-43.175010681152344,1,6718903.0,3304557.0,0.01488,0.0,0.0
2020-03-07,SP,Santana de Parnaíba,city,-23.44651985168457,-46.91873168945313,1,139447.0,3547304.0,0.71712,0.0,0.0
2020-03-07,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,12,12252023.0,3550308.0,0.09794,0.0,0.0
