date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,latitude,longitude
2020-04-10,AC,0,state,70,2.0,True,881935.0,12.0,7.937089999999999,0.0286,-9.978580474853516,-67.81183624267578
2020-04-10,AL,0,state,45,3.0,True,3337357.0,27.0,1.34837,0.0667,-9.662039756774902,-35.73516082763672
2020-04-10,AM,0,state,981,50.0,True,4144597.0,13.0,23.66937,0.051,-3.122299909591675,-60.01462173461914
2020-04-10,AP,0,state,166,2.0,True,845731.0,16.0,19.62799,0.012,0.036410000175237656,-51.04829025268555
2020-04-10,BA,0,state,616,19.0,True,14873064.0,29.0,4.141719999999999,0.0308,-12.972900390625,-38.50123977661133
2020-04-10,CE,0,state,1188,40.0,True,9132078.0,23.0,13.009089999999999,0.0337,-3.7833199501037598,-38.58890151977539
2020-04-10,DF,0,state,527,13.0,True,3015268.0,53.0,17.47772,0.0247,-15.792110443115234,-47.89775085449219
2020-04-10,ES,0,state,349,8.0,True,4018650.0,32.0,8.684510000000001,0.0229,-20.30677032470703,-40.30622863769531
2020-04-10,GO,0,state,191,8.0,True,7018354.0,52.0,2.7214400000000003,0.0419,-16.690370559692383,-49.25838088989258
2020-04-10,MA,0,state,344,21.0,True,7075181.0,21.0,4.86207,0.061,-2.5144999027252197,-44.30067825317383
2020-04-10,MG,0,state,698,17.0,False,21168791.0,31.0,3.29731,0.0244,-19.91864013671875,-43.935691833496094
2020-04-10,MS,0,state,97,2.0,True,2778986.0,50.0,3.4904800000000002,0.0206,-20.45149040222168,-54.616119384765625
2020-04-10,MT,0,state,112,2.0,True,3484466.0,51.0,3.21427,0.0179,-15.614919662475586,-56.093231201171875
2020-04-10,PA,0,state,217,9.0,True,8602865.0,15.0,2.52242,0.0415,-1.4393600225448608,-48.49768829345703
2020-04-10,PB,0,state,85,11.0,True,4018127.0,25.0,2.11541,0.1294,-7.130489826202393,-34.8673095703125
2020-04-10,PE,0,state,684,65.0,True,9557071.0,26.0,7.157,0.095,-8.085169792175293,-34.91463851928711
2020-04-10,PI,0,state,41,7.0,True,3273227.0,22.0,1.2525899999999999,0.1707,-5.105179786682129,-42.80194854736328
2020-04-10,PR,0,state,655,26.0,True,11433957.0,41.0,5.72855,0.0397,-25.430479049682617,-49.28451156616211
2020-04-10,RJ,0,state,2464,147.0,True,17264943.0,33.0,14.27169,0.0597,-22.90880012512207,-43.196739196777344
2020-04-10,RN,0,state,263,11.0,True,3506853.0,24.0,7.4996,0.0418,-5.805920124053955,-35.210540771484375
2020-04-10,RO,0,state,32,2.0,True,1777225.0,11.0,1.80056,0.0625,-8.761899948120117,-63.90618896484375
2020-04-10,RR,0,state,75,3.0,True,605761.0,14.0,12.38112,0.04,2.8242499828338623,-60.65742111206055
2020-04-10,RS,0,state,640,15.0,True,11377239.0,43.0,5.6252699999999995,0.0234,-30.03952980041504,-51.2169303894043
2020-04-10,SC,0,state,717,18.0,True,7164788.0,42.0,10.00727,0.0251,-27.59984016418457,-48.54182052612305
2020-04-10,SE,0,state,42,4.0,True,2298696.0,28.0,1.82712,0.0952,-10.910599708557129,-37.059898376464844
2020-04-10,SP,0,state,8216,540.0,True,45919049.0,35.0,17.89236,0.0657,-23.53396987915039,-46.628868103027344
2020-04-10,TO,0,state,23,0.0,True,1572866.0,17.0,1.4623,0.0,-10.7767972946167,-53.06805419921875
2020-04-10,PA,Abaetetuba,city,2,0.0,True,157698.0,1500107.0,1.26825,0.0,-1.7288899421691895,-48.87382125854492
2020-04-10,CE,Abaiara,city,1,0.0,True,11737.0,2300101.0,8.52006,0.0,-7.360310077667236,-39.0477409362793
2020-04-10,PE,Abreu e Lima,city,1,0.0,True,99990.0,2600054.0,1.0001,0.0,-7.905280113220215,-34.90446853637695
2020-04-10,AC,Acrelândia,city,9,0.0,True,15256.0,1200013.0,58.99318,0.0,-10.076239585876465,-67.05326843261719
2020-04-10,SP,Adamantina,city,1,0.0,False,35068.0,3500105.0,2.8516,0.0,-21.687650680541992,-51.0724983215332
2020-04-10,BA,Adustina,city,1,1.0,True,17040.0,2900355.0,5.86854,1.0,-10.536649703979492,-38.1186408996582
2020-04-10,ES,Afonso Cláudio,city,1,0.0,True,30586.0,3200102.0,3.26947,0.0,-20.074119567871094,-41.12117004394531
2020-04-10,SP,Agudos,city,1,1.0,True,37214.0,3500709.0,2.68716,1.0,-22.472850799560547,-48.98902130126953
2020-04-10,BA,Alagoinhas,city,5,0.0,True,151596.0,2900702.0,3.2982400000000003,0.0,-12.136770248413086,-38.423038482666016
